convo_id,msg_count_5min,tokens_5min,avg_tokens_per_msg,model_tier,user_tier,total_cost_usd,msg_count_5min_norm,tokens_5min_norm,avg_tokens_per_msg_norm,model_tier_norm,user_tier_norm,cost_per_token,cost_per_message,token_efficiency,msg_density,z_score_cost,z_score_tokens,z_anomaly_flag,iqr_lower_bound,iqr_upper_bound,iqr_outlier_flag,cost_decile,high_cost_flag,model_tier_encoded,user_tier_encoded,iso_anomaly_flag,model_tier_label,user_tier_label
PX064,11,2992,272.0,3,3,1.8,0.5,0.9992834109638122,0.17602729987349633,1.0,1.0,0.0006014032743067157,0.15,1661.2992781787896,0.0036752422318743734,2.8134627066135978,1.803761052254475,0,-0.61375,1.7962500000000001,1,10,1,2,2,1,Premium,Enterprise
ZT075,11,2994,272.1818182,3,3,1.8,0.5,1.0,0.17615009760561612,1.0,1.0,0.0006010016694490818,0.15,1662.4097723486952,0.003672787979966611,2.8134627066135978,1.8062893811055336,0,-0.61375,1.7962500000000001,1,10,1,2,2,1,Premium,Enterprise
OD579,17,2981,175.3529412,3,3,1.79,0.8333333333333334,0.9953421712647796,0.11075308839913489,1.0,1.0,0.0006002682763246144,0.09944444444444445,1664.4332774986042,0.005700871898054996,2.78966531496805,1.7898552435736517,0,-0.61375,1.7962500000000001,0,10,1,2,2,1,Premium,Enterprise
BG578,11,2966,269.6363636,3,1,1.78,0.5,0.9899677534933715,0.17443092949101657,1.0,0.0,0.000599932591843613,0.14833333333333334,1665.3565412689502,0.003707448601280755,2.7658679233225016,1.7708927771907108,0,-0.61375,1.7962500000000001,0,10,1,2,0,1,Premium,Free
JB556,10,2964,296.4,3,3,1.78,0.4444444444444444,0.9892511644571838,0.1925067538760264,1.0,1.0,0.0006003372681281619,0.16181818181818183,1664.233576642336,0.003372681281618887,2.7658679233225016,1.768364448339652,0,-0.61375,1.7962500000000001,0,10,1,2,2,1,Premium,Enterprise
RX483,8,2970,371.25,3,2,1.78,0.3333333333333333,0.991400931565747,0.24305950519116476,1.0,0.5,0.0005991248737798721,0.19777777777777777,1667.6024705221787,0.0026926960619320095,2.7658679233225016,1.7759494348928284,0,-0.61375,1.7962500000000001,0,10,1,2,1,1,Premium,Pro
FU091,5,2803,560.6,3,1,1.68,0.16666666666666666,0.9315657470440702,0.37094412057555287,1.0,0.0,0.0005991440798858773,0.27999999999999997,1667.4598453301608,0.001783166904422254,2.527894006867021,1.5648339758294205,0,-0.61375,1.7962500000000001,0,10,1,2,0,1,Premium,Free
NF242,4,2773,693.25,3,1,1.66,0.1111111111111111,0.920816911501254,0.4605342670278321,1.0,0.0,0.0005984138428262437,0.33199999999999996,1669.4762191450934,0.0014419610670511895,2.4802992235759245,1.5269090430635388,0,-0.61375,1.7962500000000001,0,10,1,2,0,1,Premium,Free
SY282,3,2519,839.6666667,3,2,1.51,0.05555555555555555,0.8298101039054102,0.5594222475231775,1.0,0.5,0.0005992063492063492,0.3775,1667.1078755790868,0.0011904761904761906,2.1233383488927045,1.205811278979074,0,-0.61375,1.7962500000000001,0,10,1,2,1,1,Premium,Pro
PO409,2,2477,1238.5,3,3,1.49,0.0,0.8147617341454676,0.8287892791130584,1.0,1.0,0.0006012913640032284,0.49666666666666665,1661.3011401743797,0.0008071025020177562,2.0757435656016083,1.1527163731068397,0,-0.61375,1.7962500000000001,0,10,0,2,2,1,Premium,Enterprise
