convo_id,msg_count_5min,tokens_5min,avg_tokens_per_msg,model_tier,user_tier,total_cost_usd,msg_count_5min_norm,tokens_5min_norm,avg_tokens_per_msg_norm,model_tier_norm,user_tier_norm,cost_per_token,cost_per_message,token_efficiency,msg_density,z_score_cost,z_score_tokens,z_anomaly_flag,iqr_lower_bound,iqr_upper_bound,iqr_outlier_flag,cost_decile,high_cost_flag,model_tier_encoded,user_tier_encoded,iso_anomaly_flag,model_tier_label,user_tier_label
PK001,8,880,110.0,1,2,0.18,0.3333333333333333,0.24256538874955214,0.06661453149604256,0.0,0.5,0.0002043132803632236,0.02,4861.878453038674,0.009080590238365494,-1.041714739965187,-0.866154214463594,0,-0.61375,1.7962500000000001,0,2,0,0,1,0,Basic,Pro
HG002,19,1372,72.21052632,2,3,0.55,0.9444444444444444,0.4188462916517377,0.041091994885822034,0.5,1.0,0.0004005826656955572,0.027500000000000004,2490.0181488203266,0.013838310269482883,-0.16121124907990883,-0.24418531710313474,0,-0.61375,1.7962500000000001,0,6,0,1,2,0,Standard,Enterprise
YB003,7,2891,413.0,3,3,1.73,0.2777777777777778,0.9630956646363311,0.2712569316094283,1.0,1.0,0.0005982019363762102,0.21625,1670.1328711727326,0.0024204702627939143,2.646880965094762,1.6760804452760065,0,-0.61375,1.7962500000000001,0,10,1,2,2,0,Premium,Enterprise
ZW004,19,2350,123.6842105,2,1,0.94,0.9444444444444444,0.7692583303475456,0.07585667565570196,0.5,0.0,0.00039982985963419817,0.047,2497.3432518597238,0.008081667375584857,0.7668870250964651,0.9921674910646073,0,-0.61375,1.7962500000000001,0,8,0,1,0,0,Standard,Free
HB005,9,643,71.44444444,3,2,0.39,0.3888888888888889,0.15764958796130418,0.040574592791410895,1.0,0.5,0.0006055900621118013,0.039,1644.5012787723786,0.013975155279503106,-0.5419695154086778,-1.165761183314059,0,-0.61375,1.7962500000000001,0,4,0,2,1,0,Premium,Pro
GK006,19,1248,65.68421053,3,2,0.75,0.9444444444444444,0.37441777140809746,0.03668420304699864,1.0,0.5,0.0006004803843074459,0.0375,1661.7842876165114,0.01521216973578863,0.31473658383105213,-0.4009417058687789,0,-0.61375,1.7962500000000001,0,7,0,2,1,0,Premium,Pro
UV007,19,612,32.21052632,1,1,0.12,0.9444444444444444,0.14654245790039414,0.014076496521018632,0.0,0.0,0.00019575856443719412,0.006,5057.851239669421,0.03099510603588907,-1.1844990898384753,-1.2049502805054702,0,-0.61375,1.7962500000000001,0,1,0,0,0,0,Basic,Free
YS008,12,2595,216.25,1,2,0.52,0.5555555555555556,0.8570404872805446,0.13837444902755158,0.0,0.5,0.00020030816640986132,0.04,4980.806142034548,0.004622496147919877,-0.23260342401655307,1.3018877753193077,0,-0.61375,1.7962500000000001,0,5,0,0,1,0,Basic,Pro
OB009,6,2366,394.3333333,3,3,1.42,0.2222222222222222,0.7749910426370477,0.25864969901667384,1.0,1.0,0.0005999155048584706,0.20285714285714285,1665.024630541872,0.0025348542458808617,1.9091618240827717,1.0123941218730776,0,-0.61375,1.7962500000000001,0,10,0,2,2,0,Premium,Enterprise
DG010,12,1725,143.75,3,3,1.04,0.5555555555555556,0.545324256538875,0.08940885824134544,1.0,1.0,0.0006025492468134415,0.08,1657.0605187319886,0.006952491309385863,1.0048609415519458,0.20206472510873946,0,-0.61375,1.7962500000000001,0,9,0,2,2,0,Premium,Enterprise
DR011,7,2926,418.0,2,3,1.17,0.2777777777777778,0.9756359727696167,0.2746338689050287,0.5,1.0,0.00039972668261018104,0.14625,2498.7190435525195,0.0023915271609156134,1.3142270329440704,1.7203262001695352,0,-0.61375,1.7962500000000001,0,9,0,1,2,0,Standard,Enterprise
KF012,14,2493,178.0714286,1,1,0.5,0.6666666666666666,0.8204944464349695,0.11258912069687084,0.0,0.0,0.00020048115477145148,0.03333333333333333,4976.047904191617,0.0056134723336006415,-0.2801982073076492,1.17294300391531,0,-0.61375,1.7962500000000001,0,5,0,0,0,0,Basic,Free
UH013,15,2229,148.6,2,3,0.89,0.7222222222222222,0.725904693658187,0.09268448741807785,0.5,1.0,0.0003991031390134529,0.055625,2501.6835016835016,0.006726457399103139,0.6479000668687249,0.8392035955755514,0,-0.61375,1.7962500000000001,0,8,0,1,2,0,Standard,Enterprise
